anio,edo,tipo,sexo,tasa
2006,Oaxaca,trans,Mujeres,70.8
2006,Puebla,trans,Mujeres,69.9
2006,Querétaro,trans,Mujeres,56.4
2006,Quintana Roo,trans,Mujeres,52.2
2006,San Luis Potosí,trans,Mujeres,55
2006,Sinaloa,trans,Mujeres,48.7
2006,Sonora,trans,Mujeres,65.9
2006,Tabasco,trans,Mujeres,62
2006,Tamaulipas,trans,Mujeres,48.3
2006,Tlaxcala,trans,Mujeres,60.7
2006,Veracruz,trans,Mujeres,56.8
2006,Yucatán,trans,Mujeres,65.5
2006,Zacatecas,trans,Mujeres,51.1
2007,Aguascalientes,trans,Mujeres,48.8
2007,Baja California,trans,Mujeres,58.1
2007,Baja California Sur,trans,Mujeres,57.5
2007,Campeche,trans,Mujeres,48.3
2007,Coahuila,trans,Mujeres,48.9
2007,Colima,trans,Mujeres,58.5
2007,Chiapas,trans,Mujeres,89
2007,Chihuahua,trans,Mujeres,64.3
2007,Distrito Federal,trans,Mujeres,58.3
2007,Durango,trans,Mujeres,48.8
2007,Guanajuato,trans,Mujeres,55.4
2007,Guerrero,trans,Mujeres,56.1
2007,Hidalgo,trans,Mujeres,54.4
2007,Jalisco,trans,Mujeres,59
2007,México,trans,Mujeres,63.7
2007,Michoacán,trans,Mujeres,48.5
2007,Morelos,trans,Mujeres,54.4
2007,Nayarit,trans,Mujeres,49.7
2007,Nuevo León,trans,Mujeres,46.6
2007,Oaxaca,trans,Mujeres,82.4
2007,Puebla,trans,Mujeres,70.1
2007,Querétaro,trans,Mujeres,49.8
2007,Quintana Roo,trans,Mujeres,49.9
2007,San Luis Potosí,trans,Mujeres,53.2
2007,Sinaloa,trans,Mujeres,44.4
2007,Sonora,trans,Mujeres,52.6
2007,Tabasco,trans,Mujeres,58.4
2007,Tamaulipas,trans,Mujeres,46.6
2007,Tlaxcala,trans,Mujeres,55.1
2007,Veracruz,trans,Mujeres,62.7
2007,Yucatán,trans,Mujeres,60.6
2007,Zacatecas,trans,Mujeres,50.6
2008,Aguascalientes,trans,Mujeres,48.6
2008,Baja California,trans,Mujeres,55.2
2008,Baja California Sur,trans,Mujeres,55.1
2008,Campeche,trans,Mujeres,50.6
2008,Coahuila,trans,Mujeres,47.7
2008,Colima,trans,Mujeres,47.7
2008,Chiapas,trans,Mujeres,87.9
2008,Chihuahua,trans,Mujeres,67.3
2008,Distrito Federal,trans,Mujeres,53.3
2008,Durango,trans,Mujeres,48.7
2008,Guanajuato,trans,Mujeres,54.6
2008,Guerrero,trans,Mujeres,56
2008,Hidalgo,trans,Mujeres,52
2008,Jalisco,trans,Mujeres,62
2008,México,trans,Mujeres,63
2008,Michoacán,trans,Mujeres,48.4
2008,Morelos,trans,Mujeres,56.9
2008,Nayarit,trans,Mujeres,55.6
2008,Nuevo León,trans,Mujeres,49.8
2008,Oaxaca,trans,Mujeres,78.2
2008,Puebla,trans,Mujeres,67.1
2008,Querétaro,trans,Mujeres,53.6
2008,Quintana Roo,trans,Mujeres,53.3
2008,San Luis Potosí,trans,Mujeres,48.2
2008,Sinaloa,trans,Mujeres,48.4
2008,Sonora,trans,Mujeres,60.1
2008,Tabasco,trans,Mujeres,52.8
